Domain,Accessible,url,Status Code,Redirect to another domain,HTML Size,GDPR blocking
time.com,Yes,https://time.com/,200,No,194001,No
tmz.com,Yes,https://www.tmz.com/,200,No,794002,No
townhall.com,Yes,https://townhall.com/,200,No,104754,No
univision.com,Yes,https://www.univision.com/,200,No,573772,No
us.cnn.com,Yes,https://us.cnn.com/,200,No,1115105,No
voces.huffingtonpost.com,Yes,https://www.huffpost.com/voices/latino-voices,200,Yes,202758,No
washingtonpost.com,Yes,https://www.washingtonpost.com/,200,No,1002843,No
wire.kapitall.com,No,http://wire.kapitall.com/,,,,
www2.arkansasonline.com,Yes,https://www.arkansasonline.com/,200,Yes,63771,No
www.accesshollywood.com,Yes,https://www.accessonline.com/,200,Yes,105258,No
www.airforcetimes.com,Yes,https://www.airforcetimes.com/,200,No,582676,No
www.ajc.com,Yes,https://www.ajc.com/gdpr.html,200,No,497933,Yes
www.alternet.org,Yes,https://www.alternet.org/,200,No,226202,No
www.americaru.com,No,http://www.americaru.com/,,,,
www.armytimes.com,Yes,https://www.armytimes.com/,200,No,579330,No
www.azcentral.com,Yes,https://eu.azcentral.com/,200,Yes,185435,No
www.baltimoresun.com,Yes,https://www.tribpub.com/gdpr/baltimoresun.com/,200,Yes,7997,Yes
www.benzinga.com,Yes,https://www.benzinga.com/,200,No,494546,No
www.billboard.com,Yes,https://www.billboard.com/,200,No,621385,No
www.bizjournals.com,Yes,https://www.bizjournals.com/,200,No,212,No
www.bostonglobe.com,Yes,https://www.bostonglobe.com/,200,No,1250173,No
www.breakingnews.com,Yes,https://www.nbcnews.com/,200,Yes,854544,No
www.breitbart.com,Yes,https://www.breitbart.com/,200,No,160053,No
www.buffalonews.com,Yes,https://buffalonews.com/,451,Yes,5563,Yes
www.bulgariasega.com,Yes,https://www.bulgariasega.com/,200,No,378806,No
www.businessinsider.com,Yes,https://www.businessinsider.fr/,200,Yes,210297,No
www.businessweek.com,Yes,https://www.bloomberg.com/tosv2.html?vid=&uuid=66808484-4a6c-11ec-8c82-6a6c524b5850&url=L2J1c2luZXNzd2Vlay8=,200,Yes,10940,No
www.bustle.com,Yes,https://www.bustle.com/,200,No,439959,No
www.buzzfeed.com,Yes,https://www.buzzfeed.com/,200,No,813145,No
www.cbsnews.com,Yes,https://www.cbsnews.com/,200,No,366861,No
www.cbssports.com,Yes,https://www.cbssports.com/,200,No,417319,No
www.centralmaine.com,Yes,https://www.centralmaine.com:443/,200,No,221140,No
www.chicagotribune.com,Yes,https://www.chicagotribune.com/,200,No,433358,No
www.chron.com,Yes,https://www.chron.com/,200,No,302343,No
www.cleveland.com,Yes,https://www.cleveland.com/,200,No,482568,No
www.cnbc.com,Yes,https://www.cnbc.com/world/?region=world,200,No,1180793,No
www.cnn.com,Yes,https://edition.cnn.com/,200,Yes,1120890,No
www.contactomagazine.com,Yes,https://www.contactomagazine.com/,200,No,152930,No
www.courant.com,Yes,https://www.tribpub.com/gdpr/courant.com/,200,Yes,10825,Yes
www.creators.com,Yes,https://www.creators.com/,200,No,7980,No
www.c-span.org,Yes,https://www.c-span.org/,200,No,80949,No
www.dailykos.com,Yes,https://www.dailykos.com/,200,No,451710,No
www.dailysource.org,Yes,http://www.dailysource.org/,200,No,96720,No
www.dallasnews.com,Yes,https://www.dallasnews.com/,200,No,2086833,No
www.dispatch.com,Yes,https://eu.dispatch.com/,200,Yes,176536,No
www.engadget.com,Yes,https://www.engadget.com/,200,No,403340,No
www.eonline.com,Yes,https://www.eonline.com/,200,No,280538,No
www.eurweb.com,Yes,https://eurweb.com/,200,Yes,643381,No
www.ew.com,Yes,https://ew.com/,200,Yes,569438,No
www.fark.com,Yes,https://www.fark.com/,200,No,192253,No
www.fivethirtyeight.com,Yes,https://fivethirtyeight.com/,200,Yes,75694,No
www.forbes.com,Yes,https://www.forbes.com/,200,No,424417,No
www.foxnews.com,Yes,https://www.foxnews.com/,200,No,283365,No
www.foxsports.com,Yes,https://www.foxsports.com/,200,No,759929,No
www.gazettenet.com,Yes,https://www.gazettenet.com/,200,No,73232,No
www.globalpost.com,Yes,https://theworld.org/programs/globalpost,200,Yes,743086,No
www.harpers.org,Yes,https://harpers.org/,200,Yes,190846,No
www.hollywoodreporter.com,Yes,https://www.hollywoodreporter.com/,200,No,507012,No
www.hudsonvalley360.com,Yes,https://www.hudsonvalley360.com/,200,No,447899,No
www.huffingtonpost.com,Yes,https://www.huffpost.com/,200,Yes,478170,No
www.ibabuzz.com/insider,No,http://www.ibabuzz.com/insider/,,,,
www.ibtimes.com,Yes,https://www.ibtimes.com/,200,No,201125,No
www.ign.com,Yes,https://fr.ign.com/,200,Yes,136144,No
www.indiancountrynews.com,No,http://www.indiancountrynews.com/,,,,
www.indiewire.com,Yes,https://www.indiewire.com/,200,No,244289,No
www.inquisitr.com,Yes,https://www.inquisitr.com/,200,No,270197,No
www.investors.com,Yes,https://www.investors.com/,403,No,4722,No
www.jsonline.com,Yes,https://eu.jsonline.com/,200,Yes,187929,No
www.kansascity.com,No,http://www.kansascity.com/,,,,
www.latimes.com,Yes,https://www.latimes.com/,200,No,536123,No
www.ledger-enquirer.com,No,http://www.ledger-enquirer.com/,,,,
www.lexisnexis.com/news,Yes,https://www.lexisnexis.com/news/,404,No,4928,No
www.livescience.com,Yes,https://www.livescience.com/,200,No,314851,No
www.marinetimes.com,No,http://www.marinetimes.com/,,,,
www.marketwatch.com,Yes,https://www.marketwatch.com/,200,No,618568,No
www.maxpreps.com,Yes,http://www.maxpreps.com/,403,No,422,No
www.mercurynews.com,Yes,https://www.mercurynews.com/,200,No,271205,No
www.miamiherald.com,No,http://www.miamiherald.com/,,,,
www.monstersandcritics.com,Yes,https://www.monstersandcritics.com/,200,No,187418,No
www.motherjones.com,Yes,https://www.motherjones.com/,200,No,194464,No
www.msnbc.com,Yes,https://www.msnbc.com/,200,No,585969,No
www.mysanantonio.com,Yes,https://www.mysanantonio.com/,200,No,375873,No
www.nationalmemo.com,Yes,https://www.nationalmemo.com/,200,No,303574,No
www.nationalreview.com,Yes,https://www.nationalreview.com/,200,No,439470,No
www.navytimes.com,Yes,https://www.navytimes.com/,200,No,575917,No
www.nbcsports.com,Yes,https://www.nbcsports.com/,200,No,222414,No
www.ncregister.com,Yes,https://www.ncregister.com/,200,No,117381,No
www.newsday.com,Yes,https://projects.newsday.com/gdpr/,200,Yes,143475,No
www.newsmax.com,No,http://www.newsmax.com/,,,,
www.newsweek.com,Yes,https://www.newsweek.com/,200,No,265440,No
www.newsy.com,Yes,https://www.newsy.com/,200,No,37611,No
www.newyorker.com,Yes,https://www.newyorker.com/,200,No,969173,No
www.nhgazette.com,Yes,https://www.nhgazette.com/,200,No,94193,No
www.nj.com,Yes,https://www.nj.com/,200,No,417653,No
www.norwichbulletin.com,Yes,https://eu.norwichbulletin.com/,200,Yes,126516,No
www.npr.org,Yes,https://choice.npr.org/index.html?origin=https://www.npr.org/,200,No,8039,No
www.nypost.com,Yes,https://nypost.com/,200,Yes,519323,No
www.observer.com,Yes,https://observer.com/,200,Yes,152531,No
www.ocregister.com,Yes,https://www.ocregister.com/,200,No,270348,No
www.omaha.com,Yes,https://omaha.com/,451,Yes,5555,Yes
www.opednews.com,Yes,https://www.opednews.com/,200,No,175764,No
www.opensecrets.org,Yes,http://www.opensecrets.org/,200,No,117083,No
www.opposingviews.com,Yes,https://www.opposingviews.com/,200,No,306746,No
www.orlandosentinel.com,Yes,https://www.tribpub.com/gdpr/orlandosentinel.com/,200,Yes,7849,Yes
www.parade.com,Yes,http://www.parade.com/,403,No,11621,No
www.pbs.org/newshour,Yes,https://www.pbs.org/newshour/,200,No,187561,No
www.people.com/people,Yes,https://people.com/,200,Yes,491385,No
www.pewstates.org/projects/stateline,Yes,http://www.pewstates.org/projects/stateline/,404,No,1245,No
www.pitchfork.com,Yes,https://pitchfork.com/,200,Yes,395073,No
www.polamjournal.com,Yes,http://www.polamjournal.com/,200,No,28685,No
www.politico.com,Yes,https://www.politico.com/,200,No,245768,No
